TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,84,2.80,517,17.23,14.43,ENTRY->WAIT->OUT,15.47s: ENTRY->WAIT; 16.20s: WAIT->OUT
2,False,Turned Back,85,2.83,220,7.33,4.50,ENTRY,
3,False,Turned Back,97,3.23,272,9.07,5.83,ENTRY,
4,True,Valid Sequence,97,3.23,406,13.53,10.30,ENTRY->WAIT->OUT,8.70s: ENTRY->WAIT; 11.07s: WAIT->OUT
5,True,Valid Sequence,119,3.97,607,20.23,16.27,ENTRY->WAIT->OUT,7.37s: ENTRY->WAIT; 18.50s: WAIT->OUT
6,True,Valid Sequence,154,5.13,472,15.73,10.60,ENTRY->WAIT->OUT,7.30s: ENTRY->WAIT; 12.03s: WAIT->OUT
7,True,Valid Sequence,159,5.30,398,13.27,7.97,ENTRY->WAIT->OUT,9.20s: ENTRY->WAIT; 10.53s: WAIT->OUT
8,True,Valid Sequence,160,5.33,439,14.63,9.30,ENTRY->WAIT->OUT,8.83s: ENTRY->WAIT; 11.10s: WAIT->OUT
9,True,Valid Sequence,169,5.63,432,14.40,8.77,ENTRY->WAIT->OUT,10.77s: ENTRY->WAIT; 12.07s: WAIT->OUT
10,True,Valid Sequence,174,5.80,467,15.57,9.77,ENTRY->WAIT->OUT,12.63s: ENTRY->WAIT; 13.73s: WAIT->OUT
11,True,Valid Sequence,182,6.07,624,20.80,14.73,ENTRY->WAIT->OUT,14.83s: ENTRY->WAIT; 16.10s: WAIT->OUT
12,True,Valid Sequence,191,6.37,398,13.27,6.90,ENTRY->WAIT->OUT,8.53s: ENTRY->WAIT; 10.83s: WAIT->OUT
13,True,Valid (Retried),192,6.40,423,14.10,7.70,ENTRY->WAIT->ENTRY->WAIT->OUT,8.07s: ENTRY->WAIT; 9.17s: WAIT->ENTRY; 9.80s: ENTRY->WAIT; 12.67s: WAIT->OUT
14,True,Valid Sequence,193,6.43,496,16.53,10.10,ENTRY->WAIT->OUT,13.80s: ENTRY->WAIT; 14.80s: WAIT->OUT
15,True,Valid Sequence,194,6.47,451,15.03,8.57,ENTRY->WAIT->OUT,9.30s: ENTRY->WAIT; 11.63s: WAIT->OUT
16,True,Valid Sequence,202,6.73,391,13.03,6.30,ENTRY->WAIT->OUT,8.80s: ENTRY->WAIT; 10.77s: WAIT->OUT
17,True,Valid Sequence,204,6.80,404,13.47,6.67,ENTRY->WAIT->OUT,9.40s: ENTRY->WAIT; 10.40s: WAIT->OUT
18,True,Valid Sequence,220,7.33,488,16.27,8.93,ENTRY->WAIT->OUT,13.80s: ENTRY->WAIT; 14.70s: WAIT->OUT
19,True,Valid Sequence,220,7.33,424,14.13,6.80,ENTRY->WAIT->OUT,9.33s: ENTRY->WAIT; 11.50s: WAIT->OUT
20,True,Valid Sequence,220,7.33,417,13.90,6.57,ENTRY->WAIT->OUT,9.23s: ENTRY->WAIT; 12.07s: WAIT->OUT
21,True,Valid Sequence,228,7.60,434,14.47,6.87,ENTRY->WAIT->OUT,9.87s: ENTRY->WAIT; 11.83s: WAIT->OUT
22,True,Valid (Retried),229,7.63,484,16.13,8.50,ENTRY->WAIT->ENTRY->WAIT->OUT,11.50s: ENTRY->WAIT; 11.87s: WAIT->ENTRY; 12.10s: ENTRY->WAIT; 13.70s: WAIT->OUT
23,True,Valid Sequence,231,7.70,419,13.97,6.27,ENTRY->WAIT->OUT,9.47s: ENTRY->WAIT; 11.17s: WAIT->OUT
24,True,Valid Sequence,234,7.80,434,14.47,6.67,ENTRY->WAIT->OUT,11.13s: ENTRY->WAIT; 12.60s: WAIT->OUT
25,True,Valid Sequence,238,7.93,468,15.60,7.67,ENTRY->WAIT->OUT,10.73s: ENTRY->WAIT; 14.00s: WAIT->OUT
26,True,Valid Sequence,240,8.00,506,16.87,8.87,ENTRY->WAIT->OUT,12.97s: ENTRY->WAIT; 15.10s: WAIT->OUT
27,False,Turned Back,242,8.07,482,16.07,8.00,ENTRY,
28,True,Valid Sequence,245,8.17,406,13.53,5.37,ENTRY->WAIT->OUT,9.90s: ENTRY->WAIT; 11.50s: WAIT->OUT
29,True,Valid Sequence,248,8.27,455,15.17,6.90,ENTRY->WAIT->OUT,11.90s: ENTRY->WAIT; 13.07s: WAIT->OUT
30,True,Valid Sequence,253,8.43,392,13.07,4.63,ENTRY->WAIT->OUT,9.80s: ENTRY->WAIT; 10.97s: WAIT->OUT
31,True,Valid Sequence,254,8.47,410,13.67,5.20,ENTRY->WAIT->OUT,10.77s: ENTRY->WAIT; 11.73s: WAIT->OUT
32,True,Valid Sequence,254,8.47,580,19.33,10.87,ENTRY->WAIT->OUT,12.23s: ENTRY->WAIT; 18.23s: WAIT->OUT
33,True,Valid Sequence,255,8.50,452,15.07,6.57,ENTRY->WAIT->OUT,10.50s: ENTRY->WAIT; 12.53s: WAIT->OUT
34,True,Valid Sequence,255,8.50,422,14.07,5.57,ENTRY->WAIT->OUT,10.83s: ENTRY->WAIT; 12.90s: WAIT->OUT
