TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,20,0.67,457,15.23,14.57,ENTRY->WAIT->OUT,13.27s: ENTRY->WAIT; 13.97s: WAIT->OUT
2,True,Valid Sequence,85,2.83,268,8.93,6.10,ENTRY->WAIT->OUT,4.90s: ENTRY->WAIT; 6.43s: WAIT->OUT
3,True,Valid Sequence,89,2.97,302,10.07,7.10,ENTRY->WAIT->OUT,6.43s: ENTRY->WAIT; 7.53s: WAIT->OUT
4,True,Valid Sequence,90,3.00,287,9.57,6.57,ENTRY->WAIT->OUT,5.57s: ENTRY->WAIT; 6.77s: WAIT->OUT
5,True,Valid Sequence,100,3.33,295,9.83,6.50,ENTRY->WAIT->OUT,5.43s: ENTRY->WAIT; 6.63s: WAIT->OUT
6,True,Valid Sequence,123,4.10,262,8.73,4.63,ENTRY->WAIT->OUT,5.57s: ENTRY->WAIT; 6.47s: WAIT->OUT
7,True,Valid Sequence,124,4.13,318,10.60,6.47,ENTRY->WAIT->OUT,6.10s: ENTRY->WAIT; 7.37s: WAIT->OUT
8,True,Valid Sequence,129,4.30,266,8.87,4.57,ENTRY->WAIT->OUT,5.60s: ENTRY->WAIT; 6.87s: WAIT->OUT
9,True,Valid Sequence,138,4.60,280,9.33,4.73,ENTRY->WAIT->OUT,6.10s: ENTRY->WAIT; 7.13s: WAIT->OUT
10,True,Valid Sequence,144,4.80,277,9.23,4.43,ENTRY->WAIT->OUT,5.97s: ENTRY->WAIT; 6.83s: WAIT->OUT
11,True,Valid Sequence,144,4.80,317,10.57,5.77,ENTRY->WAIT->OUT,6.17s: ENTRY->WAIT; 7.27s: WAIT->OUT
12,True,Valid Sequence,153,5.10,269,8.97,3.87,ENTRY->WAIT->OUT,5.97s: ENTRY->WAIT; 7.03s: WAIT->OUT
13,True,Valid Sequence,153,5.10,280,9.33,4.23,ENTRY->WAIT->OUT,6.27s: ENTRY->WAIT; 7.17s: WAIT->OUT
14,True,Valid Sequence,156,5.20,282,9.40,4.20,ENTRY->WAIT->OUT,6.13s: ENTRY->WAIT; 7.07s: WAIT->OUT
15,True,Valid Sequence,161,5.37,304,10.13,4.77,ENTRY->WAIT->OUT,6.40s: ENTRY->WAIT; 7.40s: WAIT->OUT
16,True,Valid Sequence,164,5.47,275,9.17,3.70,ENTRY->WAIT->OUT,6.60s: ENTRY->WAIT; 7.40s: WAIT->OUT
17,True,Valid Sequence,168,5.60,382,12.73,7.13,ENTRY->WAIT->OUT,8.77s: ENTRY->WAIT; 10.17s: WAIT->OUT
18,True,Valid Sequence,171,5.70,292,9.73,4.03,ENTRY->WAIT->OUT,7.20s: ENTRY->WAIT; 8.07s: WAIT->OUT
19,True,Valid Sequence,174,5.80,296,9.87,4.07,ENTRY->WAIT->OUT,6.93s: ENTRY->WAIT; 7.93s: WAIT->OUT
20,True,Valid Sequence,182,6.07,405,13.50,7.43,ENTRY->WAIT->OUT,8.80s: ENTRY->WAIT; 11.70s: WAIT->OUT
21,True,Valid Sequence,185,6.17,345,11.50,5.33,ENTRY->WAIT->OUT,7.47s: ENTRY->WAIT; 8.13s: WAIT->OUT
22,True,Valid Sequence,186,6.20,316,10.53,4.33,ENTRY->WAIT->OUT,7.17s: ENTRY->WAIT; 7.87s: WAIT->OUT
23,True,Valid Sequence,188,6.27,340,11.33,5.07,ENTRY->WAIT->OUT,7.37s: ENTRY->WAIT; 8.53s: WAIT->OUT
24,True,Valid Sequence,189,6.30,330,11.00,4.70,ENTRY->WAIT->OUT,7.63s: ENTRY->WAIT; 8.57s: WAIT->OUT
25,True,Valid Sequence,195,6.50,328,10.93,4.43,ENTRY->WAIT->OUT,7.77s: ENTRY->WAIT; 8.40s: WAIT->OUT
26,True,Valid Sequence,204,6.80,307,10.23,3.43,ENTRY->WAIT->OUT,7.93s: ENTRY->WAIT; 8.57s: WAIT->OUT
27,True,Valid Sequence,204,6.80,353,11.77,4.97,ENTRY->WAIT->OUT,8.57s: ENTRY->WAIT; 9.47s: WAIT->OUT
28,True,Valid Sequence,216,7.20,386,12.87,5.67,ENTRY->WAIT->OUT,9.13s: ENTRY->WAIT; 10.30s: WAIT->OUT
29,True,Valid Sequence,218,7.27,350,11.67,4.40,ENTRY->WAIT->OUT,8.37s: ENTRY->WAIT; 9.30s: WAIT->OUT
30,True,Valid Sequence,221,7.37,377,12.57,5.20,ENTRY->WAIT->OUT,10.80s: ENTRY->WAIT; 11.37s: WAIT->OUT
31,True,Valid Sequence,222,7.40,418,13.93,6.53,ENTRY->WAIT->OUT,11.00s: ENTRY->WAIT; 12.03s: WAIT->OUT
32,True,Valid Sequence,226,7.53,449,14.97,7.43,ENTRY->WAIT->OUT,11.37s: ENTRY->WAIT; 12.53s: WAIT->OUT
33,True,Valid Sequence,228,7.60,397,13.23,5.63,ENTRY->WAIT->OUT,9.73s: ENTRY->WAIT; 11.87s: WAIT->OUT
34,True,Valid Sequence,234,7.80,417,13.90,6.10,ENTRY->WAIT->OUT,9.33s: ENTRY->WAIT; 10.60s: WAIT->OUT
35,True,Valid Sequence,234,7.80,362,12.07,4.27,ENTRY->WAIT->OUT,9.30s: ENTRY->WAIT; 10.27s: WAIT->OUT
36,True,Valid Sequence,234,7.80,508,16.93,9.13,ENTRY->WAIT->OUT,12.60s: ENTRY->WAIT; 15.00s: WAIT->OUT
37,True,Valid Sequence,244,8.13,364,12.13,4.00,ENTRY->WAIT->OUT,9.77s: ENTRY->WAIT; 10.60s: WAIT->OUT
39,True,Valid Sequence,257,8.57,389,12.97,4.40,ENTRY->WAIT->OUT,10.47s: ENTRY->WAIT; 11.37s: WAIT->OUT
41,True,Valid Sequence,261,8.70,399,13.30,4.60,ENTRY->WAIT->OUT,10.50s: ENTRY->WAIT; 11.97s: WAIT->OUT
42,True,Valid Sequence,262,8.73,391,13.03,4.30,ENTRY->WAIT->OUT,10.77s: ENTRY->WAIT; 11.63s: WAIT->OUT
43,True,Valid Sequence,267,8.90,515,17.17,8.27,ENTRY->WAIT->OUT,11.77s: ENTRY->WAIT; 13.57s: WAIT->OUT
44,True,Valid Sequence,271,9.03,388,12.93,3.90,ENTRY->WAIT->OUT,9.90s: ENTRY->WAIT; 10.60s: WAIT->OUT
45,True,Valid Sequence,273,9.10,464,15.47,6.37,ENTRY->WAIT->OUT,11.40s: ENTRY->WAIT; 12.77s: WAIT->OUT
46,True,Valid Sequence,282,9.40,480,16.00,6.60,ENTRY->WAIT->OUT,11.97s: ENTRY->WAIT; 13.20s: WAIT->OUT
47,True,Valid Sequence,282,9.40,470,15.67,6.27,ENTRY->WAIT->OUT,11.43s: ENTRY->WAIT; 12.70s: WAIT->OUT
48,True,Valid Sequence,286,9.53,437,14.57,5.03,ENTRY->WAIT->OUT,11.27s: ENTRY->WAIT; 12.37s: WAIT->OUT
49,True,Valid Sequence,289,9.63,492,16.40,6.77,ENTRY->WAIT->OUT,12.13s: ENTRY->WAIT; 13.67s: WAIT->OUT
50,True,Valid Sequence,291,9.70,494,16.47,6.77,ENTRY->WAIT->OUT,12.83s: ENTRY->WAIT; 14.93s: WAIT->OUT
51,True,Valid Sequence,294,9.80,472,15.73,5.93,ENTRY->WAIT->OUT,12.20s: ENTRY->WAIT; 14.00s: WAIT->OUT
