frame,timestamp,event,track_id,zone,details
120,4.00s,NEW_ID,1,ENTRY,ID 1 appeared in ENTRY
121,4.03s,NEW_ID,2,ENTRY,ID 2 appeared in ENTRY
121,4.03s,NEW_ID,3,ENTRY,ID 3 appeared in ENTRY
124,4.13s,NEW_ID,4,ENTRY,ID 4 appeared in ENTRY
131,4.37s,NEW_ID,5,ENTRY,ID 5 appeared in ENTRY
132,4.40s,NEW_ID,6,ENTRY,ID 6 appeared in ENTRY
134,4.47s,NEW_ID,7,ENTRY,ID 7 appeared in ENTRY
153,5.10s,NEW_ID,8,ENTRY,ID 8 appeared in ENTRY
158,5.27s,NEW_ID,9,ENTRY,ID 9 appeared in ENTRY
158,5.27s,NEW_ID,10,ENTRY,ID 10 appeared in ENTRY
161,5.37s,NEW_ID,11,ENTRY,ID 11 appeared in ENTRY
163,5.43s,NEW_ID,12,ENTRY,ID 12 appeared in ENTRY
173,5.77s,NEW_ID,13,ENTRY,ID 13 appeared in ENTRY
175,5.83s,NEW_ID,14,ENTRY,ID 14 appeared in ENTRY
183,6.10s,NEW_ID,15,ENTRY,ID 15 appeared in ENTRY
184,6.13s,NEW_ID,16,ENTRY,ID 16 appeared in ENTRY
187,6.23s,NEW_ID,17,ENTRY,ID 17 appeared in ENTRY
192,6.40s,ZONE_CHANGE,5,WAIT,ID 5: ENTRY -> WAIT
193,6.43s,NEW_ID,18,ENTRY,ID 18 appeared in ENTRY
197,6.57s,NEW_ID,19,ENTRY,ID 19 appeared in ENTRY
198,6.60s,NEW_ID,20,ENTRY,ID 20 appeared in ENTRY
200,6.67s,NEW_ID,21,ENTRY,ID 21 appeared in ENTRY
203,6.77s,ZONE_CHANGE,7,WAIT,ID 7: ENTRY -> WAIT
204,6.80s,ZONE_CHANGE,3,WAIT,ID 3: ENTRY -> WAIT
204,6.80s,NEW_ID,22,ENTRY,ID 22 appeared in ENTRY
205,6.83s,NEW_ID,23,ENTRY,ID 23 appeared in ENTRY
207,6.90s,ZONE_CHANGE,1,WAIT,ID 1: ENTRY -> WAIT
208,6.93s,ZONE_CHANGE,2,WAIT,ID 2: ENTRY -> WAIT
208,6.93s,ZONE_CHANGE,4,WAIT,ID 4: ENTRY -> WAIT
211,7.03s,NEW_ID,24,ENTRY,ID 24 appeared in ENTRY
213,7.10s,NEW_ID,25,ENTRY,ID 25 appeared in ENTRY
220,7.33s,NEW_ID,26,ENTRY,ID 26 appeared in ENTRY
220,7.33s,NEW_ID,27,ENTRY,ID 27 appeared in ENTRY
222,7.40s,NEW_ID,28,ENTRY,ID 28 appeared in ENTRY
222,7.40s,NEW_ID,29,ENTRY,ID 29 appeared in ENTRY
223,7.43s,NEW_ID,30,ENTRY,ID 30 appeared in ENTRY
227,7.57s,NEW_ID,31,ENTRY,ID 31 appeared in ENTRY
228,7.60s,ZONE_CHANGE,15,WAIT,ID 15: ENTRY -> WAIT
230,7.67s,NEW_ID,32,ENTRY,ID 32 appeared in ENTRY
232,7.73s,ZONE_CHANGE,10,WAIT,ID 10: ENTRY -> WAIT
234,7.80s,ZONE_CHANGE,6,WAIT,ID 6: ENTRY -> WAIT
235,7.83s,NEW_ID,33,ENTRY,ID 33 appeared in ENTRY
237,7.90s,ZONE_CHANGE,8,WAIT,ID 8: ENTRY -> WAIT
237,7.90s,NEW_ID,34,ENTRY,ID 34 appeared in ENTRY
238,7.93s,ZONE_CHANGE,17,WAIT,ID 17: ENTRY -> WAIT
240,8.00s,ZONE_CHANGE,5,OUT,ID 5: WAIT -> OUT
240,8.00s,ZONE_CHANGE,9,WAIT,ID 9: ENTRY -> WAIT
240,8.00s,ZONE_CHANGE,14,WAIT,ID 14: ENTRY -> WAIT
241,8.03s,ZONE_CHANGE,16,WAIT,ID 16: ENTRY -> WAIT
244,8.13s,NEW_ID,35,ENTRY,ID 35 appeared in ENTRY
246,8.20s,ZONE_CHANGE,4,OUT,ID 4: WAIT -> OUT
247,8.23s,ZONE_CHANGE,11,WAIT,ID 11: ENTRY -> WAIT
247,8.23s,NEW_ID,36,ENTRY,ID 36 appeared in ENTRY
248,8.27s,ZONE_CHANGE,1,OUT,ID 1: WAIT -> OUT
249,8.30s,ZONE_CHANGE,13,WAIT,ID 13: ENTRY -> WAIT
254,8.47s,ZONE_CHANGE,3,OUT,ID 3: WAIT -> OUT
254,8.47s,ZONE_CHANGE,12,WAIT,ID 12: ENTRY -> WAIT
258,8.60s,NEW_ID,37,ENTRY,ID 37 appeared in ENTRY
258,8.60s,NEW_ID,38,ENTRY,ID 38 appeared in ENTRY
259,8.63s,ZONE_CHANGE,20,WAIT,ID 20: ENTRY -> WAIT
259,8.63s,ZONE_CHANGE,21,WAIT,ID 21: ENTRY -> WAIT
259,8.63s,NEW_ID,39,ENTRY,ID 39 appeared in ENTRY
259,8.63s,NEW_ID,40,ENTRY,ID 40 appeared in ENTRY
264,8.80s,ZONE_CHANGE,6,OUT,ID 6: WAIT -> OUT
266,8.87s,ZONE_CHANGE,10,OUT,ID 10: WAIT -> OUT
266,8.87s,NEW_ID,41,ENTRY,ID 41 appeared in ENTRY
266,8.87s,NEW_ID,42,ENTRY,ID 42 appeared in ENTRY
268,8.93s,ZONE_CHANGE,17,OUT,ID 17: WAIT -> OUT
270,9.00s,ZONE_CHANGE,14,OUT,ID 14: WAIT -> OUT
270,9.00s,ZONE_CHANGE,23,WAIT,ID 23: ENTRY -> WAIT
271,9.03s,ZONE_CHANGE,2,OUT,ID 2: WAIT -> OUT
274,9.13s,NEW_ID,43,ENTRY,ID 43 appeared in ENTRY
278,9.27s,NEW_ID,44,ENTRY,ID 44 appeared in ENTRY
279,9.30s,ZONE_CHANGE,9,OUT,ID 9: WAIT -> OUT
280,9.33s,ZONE_CHANGE,26,WAIT,ID 26: ENTRY -> WAIT
280,9.33s,NEW_ID,45,ENTRY,ID 45 appeared in ENTRY
282,9.40s,ZONE_CHANGE,18,WAIT,ID 18: ENTRY -> WAIT
283,9.43s,ZONE_CHANGE,19,WAIT,ID 19: ENTRY -> WAIT
283,9.43s,ZONE_CHANGE,27,WAIT,ID 27: ENTRY -> WAIT
283,9.43s,NEW_ID,46,ENTRY,ID 46 appeared in ENTRY
285,9.50s,NEW_ID,47,ENTRY,ID 47 appeared in ENTRY
288,9.60s,ZONE_CHANGE,23,ENTRY,ID 23: WAIT -> ENTRY
288,9.60s,ZONE_CHANGE,30,WAIT,ID 30: ENTRY -> WAIT
289,9.63s,ZONE_CHANGE,12,OUT,ID 12: WAIT -> OUT
289,9.63s,NEW_ID,48,ENTRY,ID 48 appeared in ENTRY
289,9.63s,NEW_ID,49,ENTRY,ID 49 appeared in ENTRY
291,9.70s,NEW_ID,50,ENTRY,ID 50 appeared in ENTRY
296,9.87s,NEW_ID,51,ENTRY,ID 51 appeared in ENTRY
297,9.90s,ZONE_CHANGE,28,WAIT,ID 28: ENTRY -> WAIT
298,9.93s,ZONE_CHANGE,13,OUT,ID 13: WAIT -> OUT
