video,actual,total_line,valid_traj,error_line,elapsed
1-46头.mp4,46,46,45,0,52.8
2-30头.mp4,30,30,29,0,61.1
3-22头.mp4,22,22,22,0,53.4
4-57头.mp4,57,57,57,0,42.3
5-48头.mp4,48,48,47,0,48.6
6-5头.mp4,5,5,5,0,42.7
7-73头.mp4,73,73,73,0,
8-26头.mp4,26,26,26,0,35.3
9-34头.mp4,34,33,32,-1,32.7
10-29头.mp4,29,29,29,0,36.4
11-9头.mp4,9,9,9,0,40.6
12-35头.mp4,35,35,35,0,44.8
13-47头.mp4,47,46,46,-1,55.7
14-103头.mp4,103,103,117,0,155.9
15-99头.mp4,99,99,99,0,140.3
16-87头.mp4,87,87,87,0,58.9
17-59头.mp4,59,59,59,0,89.6
18-86头.mp4,86,86,86,0,51.0
19-114头.mp4,114,114,113,0,54.1
20-89头.mp4,89,90,89,1,45.1
21-109头.mp4,109,109,109,0,47.2
22-96头.mp4,96,96,96,0,68.4
23-107头.mp4,107,107,107,0,108.7
24-44头.mp4,44,44,44,0,41.6
25-96头.mp4,96,96,96,0,
26-7头.mp4,7,7,7,0,18.7
27-62头.mp4,62,62,62,0,46.2
28-70头.mp4,70,70,70,0,40.2
29-66头.mp4,66,66,66,0,52.0
30-11头.mp4,11,11,11,0,38.6
31-72头.mp4,72,72,72,0,
32-77头.mp4,77,77,77,0,46.4
33-95头.mp4,95,95,94,0,92.0
34-84头.mp4,84,84,84,0,64.9
35-94头.mp4,94,93,90,-1,94.0
