frame,timestamp,event,track_id,zone,details
84,2.80s,NEW_ID,1,ENTRY,ID 1 appeared in ENTRY
91,3.03s,NEW_ID,2,ENTRY,ID 2 appeared in ENTRY
106,3.53s,NEW_ID,3,ENTRY,ID 3 appeared in ENTRY
106,3.53s,NEW_ID,4,ENTRY,ID 4 appeared in ENTRY
108,3.60s,NEW_ID,5,ENTRY,ID 5 appeared in ENTRY
110,3.67s,NEW_ID,6,ENTRY,ID 6 appeared in ENTRY
120,4.00s,NEW_ID,7,ENTRY,ID 7 appeared in ENTRY
122,4.07s,NEW_ID,8,ENTRY,ID 8 appeared in ENTRY
129,4.30s,ZONE_CHANGE,1,WAIT,ID 1: ENTRY -> WAIT
134,4.47s,NEW_ID,9,ENTRY,ID 9 appeared in ENTRY
138,4.60s,NEW_ID,10,ENTRY,ID 10 appeared in ENTRY
140,4.67s,ZONE_CHANGE,2,WAIT,ID 2: ENTRY -> WAIT
150,5.00s,NEW_ID,11,ENTRY,ID 11 appeared in ENTRY
153,5.10s,ZONE_CHANGE,8,WAIT,ID 8: ENTRY -> WAIT
154,5.13s,ZONE_CHANGE,1,OUT,ID 1: WAIT -> OUT
160,5.33s,ZONE_CHANGE,5,WAIT,ID 5: ENTRY -> WAIT
165,5.50s,ZONE_CHANGE,6,WAIT,ID 6: ENTRY -> WAIT
166,5.53s,ZONE_CHANGE,4,WAIT,ID 4: ENTRY -> WAIT
166,5.53s,NEW_ID,12,ENTRY,ID 12 appeared in ENTRY
168,5.60s,ZONE_CHANGE,2,OUT,ID 2: WAIT -> OUT
169,5.63s,ZONE_CHANGE,7,WAIT,ID 7: ENTRY -> WAIT
170,5.67s,NEW_ID,13,ENTRY,ID 13 appeared in ENTRY
174,5.80s,ZONE_CHANGE,3,WAIT,ID 3: ENTRY -> WAIT
178,5.93s,ZONE_CHANGE,8,OUT,ID 8: WAIT -> OUT
178,5.93s,NEW_ID,14,ENTRY,ID 14 appeared in ENTRY
180,6.00s,ZONE_CHANGE,4,OUT,ID 4: WAIT -> OUT
181,6.03s,NEW_ID,16,ENTRY,ID 16 appeared in ENTRY
182,6.07s,NEW_ID,17,ENTRY,ID 17 appeared in ENTRY
183,6.10s,NEW_ID,18,ENTRY,ID 18 appeared in ENTRY
184,6.13s,ZONE_CHANGE,10,WAIT,ID 10: ENTRY -> WAIT
186,6.20s,NEW_ID,19,ENTRY,ID 19 appeared in ENTRY
188,6.27s,ZONE_CHANGE,9,WAIT,ID 9: ENTRY -> WAIT
190,6.33s,ZONE_CHANGE,5,OUT,ID 5: WAIT -> OUT
191,6.37s,NEW_ID,20,ENTRY,ID 20 appeared in ENTRY
193,6.43s,ZONE_CHANGE,3,OUT,ID 3: WAIT -> OUT
193,6.43s,ZONE_CHANGE,11,WAIT,ID 11: ENTRY -> WAIT
194,6.47s,ZONE_CHANGE,7,OUT,ID 7: WAIT -> OUT
195,6.50s,NEW_ID,21,ENTRY,ID 21 appeared in ENTRY
198,6.60s,NEW_ID,22,ENTRY,ID 22 appeared in ENTRY
199,6.63s,ZONE_CHANGE,6,OUT,ID 6: WAIT -> OUT
199,6.63s,NEW_ID,23,ENTRY,ID 23 appeared in ENTRY
203,6.77s,NEW_ID,24,ENTRY,ID 24 appeared in ENTRY
207,6.90s,ZONE_CHANGE,9,OUT,ID 9: WAIT -> OUT
209,6.97s,NEW_ID,25,ENTRY,ID 25 appeared in ENTRY
213,7.10s,ZONE_CHANGE,10,OUT,ID 10: WAIT -> OUT
213,7.10s,NEW_ID,26,ENTRY,ID 26 appeared in ENTRY
216,7.20s,NEW_ID,27,ENTRY,ID 27 appeared in ENTRY
217,7.23s,ZONE_CHANGE,11,OUT,ID 11: WAIT -> OUT
218,7.27s,ZONE_CHANGE,14,WAIT,ID 14: ENTRY -> WAIT
218,7.27s,NEW_ID,28,ENTRY,ID 28 appeared in ENTRY
220,7.33s,NEW_ID,29,ENTRY,ID 29 appeared in ENTRY
224,7.47s,NEW_ID,30,ENTRY,ID 30 appeared in ENTRY
224,7.47s,NEW_ID,31,ENTRY,ID 31 appeared in ENTRY
227,7.57s,NEW_ID,32,ENTRY,ID 32 appeared in ENTRY
227,7.57s,NEW_ID,33,ENTRY,ID 33 appeared in ENTRY
229,7.63s,NEW_ID,34,ENTRY,ID 34 appeared in ENTRY
230,7.67s,ZONE_CHANGE,12,WAIT,ID 12: ENTRY -> WAIT
232,7.73s,ZONE_CHANGE,16,WAIT,ID 16: ENTRY -> WAIT
232,7.73s,ZONE_CHANGE,22,WAIT,ID 22: ENTRY -> WAIT
232,7.73s,NEW_ID,35,ENTRY,ID 35 appeared in ENTRY
233,7.77s,ZONE_CHANGE,17,WAIT,ID 17: ENTRY -> WAIT
234,7.80s,NEW_ID,36,ENTRY,ID 36 appeared in ENTRY
235,7.83s,ZONE_CHANGE,20,WAIT,ID 20: ENTRY -> WAIT
236,7.87s,ZONE_CHANGE,18,WAIT,ID 18: ENTRY -> WAIT
236,7.87s,ZONE_CHANGE,23,WAIT,ID 23: ENTRY -> WAIT
241,8.03s,ZONE_CHANGE,12,ENTRY,ID 12: WAIT -> ENTRY
242,8.07s,NEW_ID,37,ENTRY,ID 37 appeared in ENTRY
247,8.23s,ZONE_CHANGE,12,WAIT,ID 12: ENTRY -> WAIT
253,8.43s,ZONE_CHANGE,24,WAIT,ID 24: ENTRY -> WAIT
253,8.43s,NEW_ID,38,ENTRY,ID 38 appeared in ENTRY
254,8.47s,ZONE_CHANGE,27,WAIT,ID 27: ENTRY -> WAIT
255,8.50s,ZONE_CHANGE,25,WAIT,ID 25: ENTRY -> WAIT
255,8.50s,NEW_ID,39,ENTRY,ID 39 appeared in ENTRY
256,8.53s,NEW_ID,40,ENTRY,ID 40 appeared in ENTRY
257,8.57s,ZONE_CHANGE,16,OUT,ID 16: WAIT -> OUT
257,8.57s,NEW_ID,41,ENTRY,ID 41 appeared in ENTRY
258,8.60s,ZONE_CHANGE,14,OUT,ID 14: WAIT -> OUT
258,8.60s,ZONE_CHANGE,20,OUT,ID 20: WAIT -> OUT
260,8.67s,ZONE_CHANGE,18,OUT,ID 18: WAIT -> OUT
261,8.70s,ZONE_CHANGE,22,OUT,ID 22: WAIT -> OUT
261,8.70s,ZONE_CHANGE,21,WAIT,ID 21: ENTRY -> WAIT
261,8.70s,NEW_ID,43,ENTRY,ID 43 appeared in ENTRY
263,8.77s,ZONE_CHANGE,17,OUT,ID 17: WAIT -> OUT
265,8.83s,ZONE_CHANGE,13,WAIT,ID 13: ENTRY -> WAIT
265,8.83s,ZONE_CHANGE,28,WAIT,ID 28: ENTRY -> WAIT
265,8.83s,ZONE_CHANGE,34,WAIT,ID 34: ENTRY -> WAIT
266,8.87s,ZONE_CHANGE,23,OUT,ID 23: WAIT -> OUT
266,8.87s,ZONE_CHANGE,29,WAIT,ID 29: ENTRY -> WAIT
267,8.90s,ZONE_CHANGE,35,WAIT,ID 35: ENTRY -> WAIT
268,8.93s,ZONE_CHANGE,26,WAIT,ID 26: ENTRY -> WAIT
269,8.97s,ZONE_CHANGE,30,WAIT,ID 30: ENTRY -> WAIT
270,9.00s,NEW_ID,44,ENTRY,ID 44 appeared in ENTRY
277,9.23s,ZONE_CHANGE,12,OUT,ID 12: WAIT -> OUT
277,9.23s,ZONE_CHANGE,33,WAIT,ID 33: ENTRY -> WAIT
281,9.37s,ZONE_CHANGE,19,WAIT,ID 19: ENTRY -> WAIT
281,9.37s,ZONE_CHANGE,27,OUT,ID 27: WAIT -> OUT
