TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid (Retried),32,1.07,575,19.17,18.10,ENTRY->WAIT->ENTRY->WAIT->OUT,4.37s: ENTRY->WAIT; 12.27s: WAIT->ENTRY; 14.37s: ENTRY->WAIT; 15.53s: WAIT->OUT
2,True,Valid Sequence,33,1.10,554,18.47,17.37,ENTRY->WAIT->OUT,5.07s: ENTRY->WAIT; 6.50s: WAIT->OUT
3,True,Valid (Retried),41,1.37,585,19.50,18.13,ENTRY->WAIT->ENTRY->WAIT->OUT,5.57s: ENTRY->WAIT; 10.87s: WAIT->ENTRY; 15.90s: ENTRY->WAIT; 17.00s: WAIT->OUT
4,True,Valid (Retried),48,1.60,593,19.77,18.17,ENTRY->WAIT->ENTRY->WAIT->OUT,5.63s: ENTRY->WAIT; 12.27s: WAIT->ENTRY; 15.40s: ENTRY->WAIT; 16.73s: WAIT->OUT
5,True,Valid Sequence,60,2.00,579,19.30,17.30,ENTRY->WAIT->OUT,16.07s: ENTRY->WAIT; 16.90s: WAIT->OUT
6,True,Valid Sequence,61,2.03,611,20.37,18.33,ENTRY->WAIT->OUT,7.23s: ENTRY->WAIT; 16.10s: WAIT->OUT
7,True,Valid Sequence,63,2.10,576,19.20,17.10,ENTRY->WAIT->OUT,15.73s: ENTRY->WAIT; 16.57s: WAIT->OUT
8,True,Valid (Hesitated),70,2.33,660,22.00,19.67,ENTRY->WAIT->OUT->WAIT->OUT,6.07s: ENTRY->WAIT; 7.70s: WAIT->OUT; 14.17s: OUT->WAIT; 16.30s: WAIT->OUT
9,True,Valid Sequence,86,2.87,625,20.83,17.97,ENTRY->WAIT->OUT,12.70s: ENTRY->WAIT; 14.23s: WAIT->OUT
10,True,Valid Sequence,108,3.60,590,19.67,16.07,ENTRY->WAIT->OUT,16.23s: ENTRY->WAIT; 17.23s: WAIT->OUT
11,True,Valid Sequence,110,3.67,554,18.47,14.80,ENTRY->WAIT->OUT,8.70s: ENTRY->WAIT; 12.07s: WAIT->OUT
12,False,Turned Back,119,3.97,463,15.43,11.47,ENTRY->WAIT->ENTRY,6.93s: ENTRY->WAIT; 7.77s: WAIT->ENTRY
13,True,Valid (Hesitated),127,4.23,592,19.73,15.50,ENTRY->WAIT->OUT->WAIT->OUT,6.40s: ENTRY->WAIT; 9.93s: WAIT->OUT; 13.47s: OUT->WAIT; 15.90s: WAIT->OUT
14,False,Turned Back,130,4.33,455,15.17,10.83,ENTRY->WAIT->ENTRY,8.10s: ENTRY->WAIT; 9.53s: WAIT->ENTRY
15,True,Valid (Retried),138,4.60,566,18.87,14.27,ENTRY->WAIT->ENTRY->WAIT->OUT,7.63s: ENTRY->WAIT; 9.67s: WAIT->ENTRY; 15.33s: ENTRY->WAIT; 15.93s: WAIT->OUT
16,True,Valid Sequence,142,4.73,550,18.33,13.60,ENTRY->WAIT->OUT,6.37s: ENTRY->WAIT; 8.00s: WAIT->OUT
17,True,Valid Sequence,159,5.30,630,21.00,15.70,ENTRY->WAIT->OUT,12.83s: ENTRY->WAIT; 14.23s: WAIT->OUT
18,True,Valid Sequence,187,6.23,559,18.63,12.40,ENTRY->WAIT->OUT,15.03s: ENTRY->WAIT; 15.90s: WAIT->OUT
19,True,Valid Sequence,188,6.27,560,18.67,12.40,ENTRY->WAIT->OUT,10.67s: ENTRY->WAIT; 13.30s: WAIT->OUT
20,True,Valid Sequence,202,6.73,564,18.80,12.07,ENTRY->WAIT->OUT,11.70s: ENTRY->WAIT; 15.93s: WAIT->OUT
21,True,Valid Sequence,209,6.97,604,20.13,13.17,ENTRY->WAIT->OUT,9.90s: ENTRY->WAIT; 16.57s: WAIT->OUT
22,True,Valid Sequence,211,7.03,570,19.00,11.97,ENTRY->WAIT->OUT,8.87s: ENTRY->WAIT; 15.33s: WAIT->OUT
23,True,Valid Sequence,266,8.87,579,19.30,10.43,ENTRY->WAIT->OUT,13.73s: ENTRY->WAIT; 15.47s: WAIT->OUT
24,True,Valid Sequence,270,9.00,560,18.67,9.67,ENTRY->WAIT->OUT,14.67s: ENTRY->WAIT; 15.77s: WAIT->OUT
25,True,Valid Sequence,285,9.50,560,18.67,9.17,ENTRY->WAIT->OUT,14.70s: ENTRY->WAIT; 15.77s: WAIT->OUT
26,True,Valid Sequence,286,9.53,565,18.83,9.30,ENTRY->WAIT->OUT,12.23s: ENTRY->WAIT; 15.17s: WAIT->OUT
27,True,Valid Sequence,314,10.47,692,23.07,12.60,ENTRY->WAIT->OUT,16.63s: ENTRY->WAIT; 17.63s: WAIT->OUT
28,True,Valid Sequence,318,10.60,661,22.03,11.43,ENTRY->WAIT->OUT,15.57s: ENTRY->WAIT; 16.53s: WAIT->OUT
29,True,Valid Sequence,349,11.63,583,19.43,7.80,ENTRY->WAIT->OUT,15.67s: ENTRY->WAIT; 16.53s: WAIT->OUT
30,False,Stuck in Wait,353,11.77,470,15.67,3.90,ENTRY->WAIT,15.53s: ENTRY->WAIT
31,True,Valid Sequence,366,12.20,632,21.07,8.87,ENTRY->WAIT->OUT,17.67s: ENTRY->WAIT; 19.00s: WAIT->OUT
