video,actual,total_line,valid_traj,error_line,elapsed
1-48头.mp4,48,48,47,0,42.5
10-38头.mp4,38,38,38,0,23.0
11-38头.mp4,38,37,37,-1,12.3
12-29头.mp4,29,29,29,0,17.6
13-5头.mp4,5,5,5,0,8.3
14-13头.mp4,13,13,13,0,15.8
15-17头.mp4,17,17,17,0,11.3
16-39头.mp4,39,39,39,0,12.3
17-21头.mp4,21,21,21,0,23.6
18-61头.mp4,61,61,60,0,19.9
19-25头.mp4,25,25,25,0,12.5
2-28头.mp4,28,28,28,0,33.5
20-15头.mp4,15,15,15,0,39.4
21-45头.mp4,45,45,44,0,11.2
3-42头.mp4,42,41,41,-1,29.7
4-30头.mp4,30,30,29,0,30.6
5-44头.mp4,44,44,44,0,16.1
6-33头.mp4,33,33,33,0,16.9
7-30头.mp4,30,30,30,0,14.7
8-63头.mp4,63,63,62,0,19.7
9-43头.mp4,43,43,42,0,12.9
