frame,timestamp,event,track_id,zone,details
10,0.33s,NEW_ID,1,ENTRY,ID 1 appeared in ENTRY
11,0.37s,NEW_ID,2,ENTRY,ID 2 appeared in ENTRY
19,0.63s,NEW_ID,3,ENTRY,ID 3 appeared in ENTRY
29,0.97s,ZONE_CHANGE,1,WAIT,ID 1: ENTRY -> WAIT
33,1.10s,ZONE_CHANGE,2,WAIT,ID 2: ENTRY -> WAIT
37,1.23s,ZONE_CHANGE,3,WAIT,ID 3: ENTRY -> WAIT
39,1.30s,NEW_ID,4,ENTRY,ID 4 appeared in ENTRY
41,1.37s,ZONE_CHANGE,1,OUT,ID 1: WAIT -> OUT
46,1.53s,ZONE_CHANGE,2,OUT,ID 2: WAIT -> OUT
48,1.60s,NEW_ID,5,ENTRY,ID 5 appeared in ENTRY
51,1.70s,ZONE_CHANGE,3,OUT,ID 3: WAIT -> OUT
56,1.87s,ZONE_CHANGE,4,WAIT,ID 4: ENTRY -> WAIT
56,1.87s,NEW_ID,6,ENTRY,ID 6 appeared in ENTRY
63,2.10s,NEW_ID,7,ENTRY,ID 7 appeared in ENTRY
66,2.20s,ZONE_CHANGE,4,OUT,ID 4: WAIT -> OUT
69,2.30s,ZONE_CHANGE,6,WAIT,ID 6: ENTRY -> WAIT
69,2.30s,NEW_ID,8,ENTRY,ID 8 appeared in ENTRY
74,2.47s,ZONE_CHANGE,5,WAIT,ID 5: ENTRY -> WAIT
80,2.67s,ZONE_CHANGE,6,OUT,ID 6: WAIT -> OUT
85,2.83s,NEW_ID,9,ENTRY,ID 9 appeared in ENTRY
86,2.87s,ZONE_CHANGE,5,OUT,ID 5: WAIT -> OUT
87,2.90s,NEW_ID,10,ENTRY,ID 10 appeared in ENTRY
88,2.93s,NEW_ID,11,ENTRY,ID 11 appeared in ENTRY
89,2.97s,ZONE_CHANGE,7,WAIT,ID 7: ENTRY -> WAIT
92,3.07s,NEW_ID,12,ENTRY,ID 12 appeared in ENTRY
99,3.30s,NEW_ID,13,ENTRY,ID 13 appeared in ENTRY
99,3.30s,NEW_ID,14,ENTRY,ID 14 appeared in ENTRY
103,3.43s,ZONE_CHANGE,11,WAIT,ID 11: ENTRY -> WAIT
103,3.43s,NEW_ID,15,ENTRY,ID 15 appeared in ENTRY
105,3.50s,NEW_ID,16,ENTRY,ID 16 appeared in ENTRY
105,3.50s,NEW_ID,17,ENTRY,ID 17 appeared in ENTRY
106,3.53s,NEW_ID,18,ENTRY,ID 18 appeared in ENTRY
106,3.53s,NEW_ID,19,ENTRY,ID 19 appeared in ENTRY
108,3.60s,ZONE_CHANGE,12,WAIT,ID 12: ENTRY -> WAIT
109,3.63s,ZONE_CHANGE,7,OUT,ID 7: WAIT -> OUT
110,3.67s,NEW_ID,20,ENTRY,ID 20 appeared in ENTRY
111,3.70s,NEW_ID,21,ENTRY,ID 21 appeared in ENTRY
112,3.73s,ZONE_CHANGE,8,WAIT,ID 8: ENTRY -> WAIT
112,3.73s,ZONE_CHANGE,10,WAIT,ID 10: ENTRY -> WAIT
112,3.73s,ZONE_CHANGE,11,OUT,ID 11: WAIT -> OUT
116,3.87s,NEW_ID,22,ENTRY,ID 22 appeared in ENTRY
117,3.90s,ZONE_CHANGE,12,OUT,ID 12: WAIT -> OUT
120,4.00s,ZONE_CHANGE,17,WAIT,ID 17: ENTRY -> WAIT
120,4.00s,NEW_ID,23,ENTRY,ID 23 appeared in ENTRY
123,4.10s,ZONE_CHANGE,13,WAIT,ID 13: ENTRY -> WAIT
123,4.10s,ZONE_CHANGE,16,WAIT,ID 16: ENTRY -> WAIT
124,4.13s,ZONE_CHANGE,14,WAIT,ID 14: ENTRY -> WAIT
125,4.17s,ZONE_CHANGE,10,OUT,ID 10: WAIT -> OUT
