video,actual,total_line,valid_traj,error_line,elapsed
1-12头.mp4,12,12,12,0,8.4
2-7头.mp4,7,7,7,0,17.5
3-65头.mp4,65,65,65,0,14.0
4-5头.mp4,5,5,5,0,8.8
5-58头.mp4,58,58,59,0,28.2
6-46头.mp4,46,46,45,0,13.1
7-30头.mp4,30,30,29,0,31.3
8-22头.mp4,22,22,22,0,14.6
9-57头.mp4,57,57,57,0,15.6
10-48头.mp4,48,48,47,0,12.4
11.mp4,,73,73,,19.1
12-29头.mp4,29,29,29,0,12.2
13-9头.mp4,9,9,9,0,10.4
14-35头.mp4,35,35,35,0,22.1
15-47头.mp4,47,46,46,-1,19.4
16.mp4,,86,86,,23.1
17-37头.mp4,37,32,32,-5,15.5
18.mp4,,106,106,,24.8
19.mp4,,114,113,,17.1
20.mp4,,82,82,,15.8
21-84头.mp4,84,84,84,0,29.6
22-13头.mp4,13,13,13,0,15.5
23-50头.mp4,50,50,50,0,13.1
