frame,timestamp,event,track_id,zone,details
5,0.17s,NEW_ID,1,ENTRY,ID 1 appeared in ENTRY
5,0.17s,NEW_ID,2,ENTRY,ID 2 appeared in ENTRY
6,0.20s,NEW_ID,3,ENTRY,ID 3 appeared in ENTRY
6,0.20s,NEW_ID,4,ENTRY,ID 4 appeared in ENTRY
11,0.37s,NEW_ID,5,ENTRY,ID 5 appeared in ENTRY
15,0.50s,NEW_ID,6,ENTRY,ID 6 appeared in ENTRY
15,0.50s,NEW_ID,7,ENTRY,ID 7 appeared in ENTRY
17,0.57s,NEW_ID,8,ENTRY,ID 8 appeared in ENTRY
17,0.57s,NEW_ID,9,ENTRY,ID 9 appeared in ENTRY
20,0.67s,NEW_ID,10,ENTRY,ID 10 appeared in ENTRY
24,0.80s,NEW_ID,11,ENTRY,ID 11 appeared in ENTRY
25,0.83s,NEW_ID,12,ENTRY,ID 12 appeared in ENTRY
27,0.90s,NEW_ID,13,ENTRY,ID 13 appeared in ENTRY
28,0.93s,NEW_ID,14,ENTRY,ID 14 appeared in ENTRY
30,1.00s,NEW_ID,15,ENTRY,ID 15 appeared in ENTRY
36,1.20s,NEW_ID,16,ENTRY,ID 16 appeared in ENTRY
39,1.30s,NEW_ID,17,ENTRY,ID 17 appeared in ENTRY
39,1.30s,NEW_ID,18,ENTRY,ID 18 appeared in ENTRY
41,1.37s,NEW_ID,19,ENTRY,ID 19 appeared in ENTRY
42,1.40s,NEW_ID,20,ENTRY,ID 20 appeared in ENTRY
46,1.53s,NEW_ID,21,ENTRY,ID 21 appeared in ENTRY
46,1.53s,NEW_ID,22,ENTRY,ID 22 appeared in ENTRY
54,1.80s,NEW_ID,23,ENTRY,ID 23 appeared in ENTRY
57,1.90s,NEW_ID,24,ENTRY,ID 24 appeared in ENTRY
59,1.97s,NEW_ID,25,ENTRY,ID 25 appeared in ENTRY
70,2.33s,NEW_ID,26,ENTRY,ID 26 appeared in ENTRY
73,2.43s,NEW_ID,27,ENTRY,ID 27 appeared in ENTRY
75,2.50s,NEW_ID,28,ENTRY,ID 28 appeared in ENTRY
77,2.57s,NEW_ID,29,ENTRY,ID 29 appeared in ENTRY
81,2.70s,ZONE_CHANGE,9,WAIT,ID 9: ENTRY -> WAIT
85,2.83s,NEW_ID,30,ENTRY,ID 30 appeared in ENTRY
87,2.90s,ZONE_CHANGE,4,WAIT,ID 4: ENTRY -> WAIT
88,2.93s,NEW_ID,31,ENTRY,ID 31 appeared in ENTRY
