TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,0,0.00,415,13.83,13.83,ENTRY->WAIT->OUT,11.60s: ENTRY->WAIT; 12.27s: WAIT->OUT
2,True,Valid Sequence,0,0.00,185,6.17,6.17,ENTRY->WAIT->OUT,2.70s: ENTRY->WAIT; 3.73s: WAIT->OUT
3,True,Valid Sequence,0,0.00,133,4.43,4.43,ENTRY->WAIT->OUT,1.60s: ENTRY->WAIT; 2.20s: WAIT->OUT
4,True,Valid Sequence,9,0.30,141,4.70,4.40,ENTRY->WAIT->OUT,1.57s: ENTRY->WAIT; 2.23s: WAIT->OUT
5,True,Valid Sequence,16,0.53,154,5.13,4.60,ENTRY->WAIT->OUT,2.07s: ENTRY->WAIT; 2.77s: WAIT->OUT
6,True,Valid Sequence,17,0.57,152,5.07,4.50,ENTRY->WAIT->OUT,1.87s: ENTRY->WAIT; 2.83s: WAIT->OUT
7,True,Valid Sequence,24,0.80,198,6.60,5.80,ENTRY->WAIT->OUT,1.70s: ENTRY->WAIT; 2.73s: WAIT->OUT
8,True,Valid Sequence,25,0.83,116,3.87,3.03,ENTRY->WAIT->OUT,1.63s: ENTRY->WAIT; 2.23s: WAIT->OUT
9,True,Valid Sequence,31,1.03,140,4.67,3.63,ENTRY->WAIT->OUT,1.77s: ENTRY->WAIT; 2.40s: WAIT->OUT
10,True,Valid Sequence,35,1.17,141,4.70,3.53,ENTRY->WAIT->OUT,2.00s: ENTRY->WAIT; 2.63s: WAIT->OUT
11,True,Valid Sequence,36,1.20,176,5.87,4.67,ENTRY->WAIT->OUT,2.17s: ENTRY->WAIT; 3.10s: WAIT->OUT
12,True,Valid Sequence,38,1.27,161,5.37,4.10,ENTRY->WAIT->OUT,2.43s: ENTRY->WAIT; 3.20s: WAIT->OUT
13,True,Valid Sequence,43,1.43,145,4.83,3.40,ENTRY->WAIT->OUT,2.23s: ENTRY->WAIT; 2.90s: WAIT->OUT
14,True,Valid Sequence,47,1.57,160,5.33,3.77,ENTRY->WAIT->OUT,2.27s: ENTRY->WAIT; 2.97s: WAIT->OUT
15,True,Valid Sequence,53,1.77,161,5.37,3.60,ENTRY->WAIT->OUT,3.00s: ENTRY->WAIT; 3.50s: WAIT->OUT
16,True,Valid Sequence,54,1.80,150,5.00,3.20,ENTRY->WAIT->OUT,2.63s: ENTRY->WAIT; 3.40s: WAIT->OUT
17,False,Turned Back,55,1.83,59,1.97,0.13,ENTRY,
18,True,Valid Sequence,67,2.23,176,5.87,3.63,ENTRY->WAIT->OUT,3.20s: ENTRY->WAIT; 3.73s: WAIT->OUT
19,True,Valid Sequence,71,2.37,173,5.77,3.40,ENTRY->WAIT->OUT,3.10s: ENTRY->WAIT; 3.73s: WAIT->OUT
20,True,Valid Sequence,76,2.53,174,5.80,3.27,ENTRY->WAIT->OUT,3.27s: ENTRY->WAIT; 3.73s: WAIT->OUT
21,True,Valid Sequence,79,2.63,150,5.00,2.37,ENTRY->WAIT->OUT,3.23s: ENTRY->WAIT; 3.63s: WAIT->OUT
22,True,Valid Sequence,84,2.80,196,6.53,3.73,ENTRY->WAIT->OUT,3.57s: ENTRY->WAIT; 4.77s: WAIT->OUT
23,True,Valid Sequence,85,2.83,170,5.67,2.83,ENTRY->WAIT->OUT,3.53s: ENTRY->WAIT; 4.03s: WAIT->OUT
24,True,Valid Sequence,89,2.97,222,7.40,4.43,ENTRY->WAIT->OUT,4.53s: ENTRY->WAIT; 5.43s: WAIT->OUT
26,True,Valid Sequence,90,3.00,219,7.30,4.30,ENTRY->WAIT->OUT,4.23s: ENTRY->WAIT; 4.87s: WAIT->OUT
27,True,Valid Sequence,91,3.03,168,5.60,2.57,ENTRY->WAIT->OUT,3.60s: ENTRY->WAIT; 4.13s: WAIT->OUT
28,True,Valid Sequence,94,3.13,193,6.43,3.30,ENTRY->WAIT->OUT,4.00s: ENTRY->WAIT; 4.53s: WAIT->OUT
29,True,Valid Sequence,94,3.13,190,6.33,3.20,ENTRY->WAIT->OUT,4.07s: ENTRY->WAIT; 4.60s: WAIT->OUT
31,True,Valid Sequence,99,3.30,186,6.20,2.90,ENTRY->WAIT->OUT,4.20s: ENTRY->WAIT; 4.80s: WAIT->OUT
32,False,Turned Back,102,3.40,120,4.00,0.60,ENTRY,
33,True,Valid Sequence,103,3.43,221,7.37,3.93,ENTRY->WAIT->OUT,4.70s: ENTRY->WAIT; 5.43s: WAIT->OUT
34,True,Valid Sequence,103,3.43,251,8.37,4.93,ENTRY->WAIT->OUT,5.17s: ENTRY->WAIT; 5.90s: WAIT->OUT
35,True,Valid Sequence,104,3.47,206,6.87,3.40,ENTRY->WAIT->OUT,4.23s: ENTRY->WAIT; 4.87s: WAIT->OUT
36,True,Valid Sequence,106,3.53,184,6.13,2.60,ENTRY->WAIT->OUT,4.30s: ENTRY->WAIT; 4.87s: WAIT->OUT
37,True,Valid Sequence,109,3.63,183,6.10,2.47,ENTRY->WAIT->OUT,4.33s: ENTRY->WAIT; 4.80s: WAIT->OUT
38,True,Valid Sequence,110,3.67,189,6.30,2.63,ENTRY->WAIT->OUT,4.27s: ENTRY->WAIT; 4.73s: WAIT->OUT
39,True,Valid Sequence,110,3.67,206,6.87,3.20,ENTRY->WAIT->OUT,4.40s: ENTRY->WAIT; 5.13s: WAIT->OUT
40,True,Valid Sequence,113,3.77,245,8.17,4.40,ENTRY->WAIT->OUT,5.63s: ENTRY->WAIT; 6.37s: WAIT->OUT
41,True,Valid Sequence,113,3.77,179,5.97,2.20,ENTRY->WAIT->OUT,4.40s: ENTRY->WAIT; 4.87s: WAIT->OUT
42,True,Valid Sequence,113,3.77,205,6.83,3.07,ENTRY->WAIT->OUT,4.70s: ENTRY->WAIT; 5.20s: WAIT->OUT
44,True,Valid Sequence,115,3.83,200,6.67,2.83,ENTRY->WAIT->OUT,4.53s: ENTRY->WAIT; 5.17s: WAIT->OUT
45,True,Valid Sequence,115,3.83,207,6.90,3.07,ENTRY->WAIT->OUT,4.67s: ENTRY->WAIT; 5.23s: WAIT->OUT
