video,primary_cause,secondary_causes,diagnosis_confidence,diagnosis_window,diagnosis_tracks,diagnosis_json,diagnosis_md
1-12头.mp4,未发现明显结构性问题,,0.58,,,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\1-12头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\1-12头\ByteTrack_diagnosis.md
2-7头.mp4,遮挡或重分配ID导致重复计数,,0.78,反向进入或方向冲突:11.07-12.30s; 遮挡与ID切换风险:0.03-11.73s,12,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\2-7头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\2-7头\ByteTrack_diagnosis.md
3-65头.mp4,反向进入目标或非统计方向目标混入,遮挡或重分配ID导致重复计数,0.91,反向进入或方向冲突:0.00-10.90s; 遮挡与ID切换风险:0.67-11.63s,7|10|34|67|71|78,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\3-65头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\3-65头\ByteTrack_diagnosis.md
4-5头.mp4,遮挡或重分配ID导致重复计数,,0.78,反向进入或方向冲突:5.70-7.23s; 遮挡与ID切换风险:0.00-7.17s,8|9,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\4-5头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\4-5头\ByteTrack_diagnosis.md
5-58头.mp4,遮挡或重分配ID导致重复计数,入口区停留或折返导致计数波动,0.91,反向进入或方向冲突:12.30-18.87s; 遮挡与ID切换风险:5.07-14.40s; 停留/折返风险:18.03-25.33s,4|18|31|64|65|70|72,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\5-58头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\5-58头\ByteTrack_diagnosis.md
6-46头.mp4,遮挡或重分配ID导致重复计数,,0.68,遮挡与ID切换风险:0.00-9.53s,3|5|6|7|11|25|30|43,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\6-46头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\6-46头\ByteTrack_diagnosis.md
7-30头.mp4,反向进入目标或非统计方向目标混入,遮挡或重分配ID导致重复计数|入口区停留或折返导致计数波动,0.94,反向进入或方向冲突:10.60-29.03s; 遮挡与ID切换风险:5.27-26.23s; 停留/折返风险:4.63-9.23s,15|18|20|24|27|30|31|32|33|34|35|36|37|38|39,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\7-30头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\7-30头\ByteTrack_diagnosis.md
8-22头.mp4,遮挡或重分配ID导致重复计数,,0.78,反向进入或方向冲突:5.67-12.17s; 遮挡与ID切换风险:0.37-8.47s,11|21|26|27|28,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\8-22头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\8-22头\ByteTrack_diagnosis.md
9-57头.mp4,遮挡或重分配ID导致重复计数,入口区停留或折返导致计数波动,0.91,反向进入或方向冲突:11.77-12.90s; 遮挡与ID切换风险:0.47-12.30s; 停留/折返风险:2.97-11.83s,6|7|18|20|23|31|35|42|61,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\9-57头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\9-57头\ByteTrack_diagnosis.md
10-48头.mp4,反向进入目标或非统计方向目标混入,遮挡或重分配ID导致重复计数|入口区停留或折返导致计数波动|线计数与轨迹验证结果存在偏差,0.95,反向进入或方向冲突:5.83-9.80s; 遮挡与ID切换风险:0.00-9.80s; 停留/折返风险:2.93-6.30s,2|6|7|14|20|23|29|32|37|50|51|52|54|56|57,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\10-48头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\10-48头\ByteTrack_diagnosis.md
11.mp4,反向进入目标或非统计方向目标混入,遮挡或重分配ID导致重复计数,0.91,反向进入或方向冲突:10.30-17.00s; 遮挡与ID切换风险:0.37-17.23s,2|8|9|16|20|27|53|54|64|66|72|76|78|79|80,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\11\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\11\ByteTrack_diagnosis.md
12-29头.mp4,遮挡或重分配ID导致重复计数,,0.68,遮挡与ID切换风险:0.33-8.47s,7|30,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\12-29头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\12-29头\ByteTrack_diagnosis.md
13-9头.mp4,遮挡或重分配ID导致重复计数,,0.68,遮挡与ID切换风险:1.03-7.83s,8,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\13-9头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\13-9头\ByteTrack_diagnosis.md
14-35头.mp4,遮挡或重分配ID导致重复计数,,0.78,反向进入或方向冲突:7.03-13.60s; 遮挡与ID切换风险:1.60-17.83s,2|6|12|18|20|22|28|39|43|44|47|49,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\14-35头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\14-35头\ByteTrack_diagnosis.md
15-47头.mp4,反向进入目标或非统计方向目标混入,遮挡或重分配ID导致重复计数,0.91,反向进入或方向冲突:10.47-15.23s; 遮挡与ID切换风险:2.00-15.10s,13|16|21|38|51|58|62|63|65|66|67|71,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\15-47头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\15-47头\ByteTrack_diagnosis.md
16.mp4,反向进入目标或非统计方向目标混入,遮挡或重分配ID导致重复计数|入口区停留或折返导致计数波动,0.94,反向进入或方向冲突:10.23-18.97s; 遮挡与ID切换风险:0.97-19.53s; 停留/折返风险:4.20-14.83s,4|10|11|13|23|25|27|29|43|44|46|47|48|56|58,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\16\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\16\ByteTrack_diagnosis.md
17-37头.mp4,标签定义与统计方向不一致,反向进入目标或非统计方向目标混入|遮挡或重分配ID导致重复计数|入口区停留或折返导致计数波动|线计数与轨迹验证结果存在偏差,0.95,反向进入或方向冲突:0.00-12.27s; 遮挡与ID切换风险:0.93-12.37s; 停留/折返风险:0.00-11.97s,1|2|5|10|13|14|19|21|27|29|31|32|35|38|39,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\17-37头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\17-37头\ByteTrack_diagnosis.md
18.mp4,反向进入目标或非统计方向目标混入,入口区停留或折返导致计数波动,0.91,反向进入或方向冲突:8.20-21.10s; 停留/折返风险:0.00-21.90s,1|6|27|40|69|74|75|109|118|119,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\18\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\18\ByteTrack_diagnosis.md
19.mp4,反向进入目标或非统计方向目标混入,遮挡或重分配ID导致重复计数,0.91,反向进入或方向冲突:5.57-13.87s; 遮挡与ID切换风险:2.50-13.53s,26|40|92|93|94|116|129,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\19\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\19\ByteTrack_diagnosis.md
20.mp4,反向进入目标或非统计方向目标混入,遮挡或重分配ID导致重复计数,0.91,反向进入或方向冲突:9.20-12.87s; 遮挡与ID切换风险:6.00-12.47s,46|83|88|90|92,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\20\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\20\ByteTrack_diagnosis.md
21-84头.mp4,遮挡或重分配ID导致重复计数,入口区停留或折返导致计数波动,0.91,反向进入或方向冲突:20.03-29.40s; 遮挡与ID切换风险:18.47-29.40s; 停留/折返风险:2.37-8.40s,9|80|83|90,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\21-84头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\21-84头\ByteTrack_diagnosis.md
22-13头.mp4,反向进入目标或非统计方向目标混入,遮挡或重分配ID导致重复计数,0.91,反向进入或方向冲突:0.00-13.97s; 遮挡与ID切换风险:0.00-11.67s,12|14|16|17|18|19|20|21|22|24|25|27|28|30|31,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\22-13头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\22-13头\ByteTrack_diagnosis.md
23-50头.mp4,反向进入目标或非统计方向目标混入,遮挡或重分配ID导致重复计数,0.91,反向进入或方向冲突:0.00-9.83s; 遮挡与ID切换风险:0.43-10.93s,2|3|4|5|29|38|43|50|51|57|58|59|60,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\23-50头\ByteTrack_diagnosis.json,C:\Users\Skyha\Desktop\pig_couter\output\batch_rerun_group4_mindspore_review\23-50头\ByteTrack_diagnosis.md
