TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,502,16.73,684,22.80,6.07,ENTRY->WAIT->OUT,19.30s: ENTRY->WAIT; 20.03s: WAIT->OUT
2,True,Valid Sequence,504,16.80,687,22.90,6.10,ENTRY->WAIT->OUT,19.13s: ENTRY->WAIT; 20.10s: WAIT->OUT
3,True,Valid Sequence,505,16.83,691,23.03,6.20,ENTRY->WAIT->OUT,19.10s: ENTRY->WAIT; 20.20s: WAIT->OUT
4,True,Valid Sequence,505,16.83,771,25.70,8.87,ENTRY->WAIT->OUT,20.27s: ENTRY->WAIT; 21.53s: WAIT->OUT
5,True,Valid Sequence,510,17.00,773,25.77,8.77,ENTRY->WAIT->OUT,19.83s: ENTRY->WAIT; 20.67s: WAIT->OUT
6,True,Valid Sequence,510,17.00,713,23.77,6.77,ENTRY->WAIT->OUT,19.53s: ENTRY->WAIT; 20.53s: WAIT->OUT
7,True,Valid Sequence,515,17.17,711,23.70,6.53,ENTRY->WAIT->OUT,20.10s: ENTRY->WAIT; 21.00s: WAIT->OUT
8,True,Valid Sequence,519,17.30,695,23.17,5.87,ENTRY->WAIT->OUT,19.23s: ENTRY->WAIT; 20.27s: WAIT->OUT
9,True,Valid Sequence,521,17.37,722,24.07,6.70,ENTRY->WAIT->OUT,19.43s: ENTRY->WAIT; 20.87s: WAIT->OUT
10,True,Valid Sequence,522,17.40,707,23.57,6.17,ENTRY->WAIT->OUT,20.47s: ENTRY->WAIT; 21.33s: WAIT->OUT
11,True,Valid Sequence,523,17.43,694,23.13,5.70,ENTRY->WAIT->OUT,19.30s: ENTRY->WAIT; 20.50s: WAIT->OUT
12,True,Valid Sequence,524,17.47,730,24.33,6.87,ENTRY->WAIT->OUT,21.63s: ENTRY->WAIT; 22.47s: WAIT->OUT
13,True,Valid Sequence,525,17.50,687,22.90,5.40,ENTRY->WAIT->OUT,19.67s: ENTRY->WAIT; 20.40s: WAIT->OUT
14,True,Valid Sequence,526,17.53,703,23.43,5.90,ENTRY->WAIT->OUT,19.53s: ENTRY->WAIT; 20.53s: WAIT->OUT
15,True,Valid Sequence,529,17.63,717,23.90,6.27,ENTRY->WAIT->OUT,20.17s: ENTRY->WAIT; 20.93s: WAIT->OUT
16,True,Valid Sequence,533,17.77,748,24.93,7.17,ENTRY->WAIT->OUT,20.10s: ENTRY->WAIT; 22.07s: WAIT->OUT
17,True,Valid Sequence,533,17.77,691,23.03,5.27,ENTRY->WAIT->OUT,19.70s: ENTRY->WAIT; 20.60s: WAIT->OUT
18,True,Valid Sequence,534,17.80,741,24.70,6.90,ENTRY->WAIT->OUT,19.87s: ENTRY->WAIT; 21.10s: WAIT->OUT
19,True,Valid Sequence,536,17.87,726,24.20,6.33,ENTRY->WAIT->OUT,20.90s: ENTRY->WAIT; 22.70s: WAIT->OUT
20,True,Valid Sequence,541,18.03,704,23.47,5.43,ENTRY->WAIT->OUT,19.90s: ENTRY->WAIT; 20.83s: WAIT->OUT
