TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,502,16.73,682,22.73,6.00,ENTRY->WAIT->OUT,19.30s: ENTRY->WAIT; 20.03s: WAIT->OUT
2,True,Valid Sequence,503,16.77,685,22.83,6.07,ENTRY->WAIT->OUT,19.13s: ENTRY->WAIT; 20.10s: WAIT->OUT
3,True,Valid Sequence,505,16.83,772,25.73,8.90,ENTRY->WAIT->OUT,20.27s: ENTRY->WAIT; 21.53s: WAIT->OUT
4,True,Valid Sequence,505,16.83,690,23.00,6.17,ENTRY->WAIT->OUT,19.10s: ENTRY->WAIT; 20.20s: WAIT->OUT
5,True,Valid Sequence,510,17.00,711,23.70,6.70,ENTRY->WAIT->OUT,19.53s: ENTRY->WAIT; 20.53s: WAIT->OUT
6,True,Valid Sequence,511,17.03,774,25.80,8.77,ENTRY->WAIT->OUT,19.83s: ENTRY->WAIT; 20.67s: WAIT->OUT
7,True,Valid Sequence,515,17.17,719,23.97,6.80,ENTRY->WAIT->OUT,20.17s: ENTRY->WAIT; 20.93s: WAIT->OUT
8,True,Valid Sequence,519,17.30,694,23.13,5.83,ENTRY->WAIT->OUT,19.23s: ENTRY->WAIT; 20.27s: WAIT->OUT
9,True,Valid Sequence,522,17.40,722,24.07,6.67,ENTRY->WAIT->OUT,19.43s: ENTRY->WAIT; 20.87s: WAIT->OUT
10,True,Valid Sequence,523,17.43,730,24.33,6.90,ENTRY->WAIT->OUT,21.63s: ENTRY->WAIT; 22.47s: WAIT->OUT
11,True,Valid Sequence,524,17.47,707,23.57,6.10,ENTRY->WAIT->OUT,20.47s: ENTRY->WAIT; 21.33s: WAIT->OUT
12,True,Valid Sequence,524,17.47,687,22.90,5.43,ENTRY->WAIT->OUT,19.67s: ENTRY->WAIT; 20.40s: WAIT->OUT
13,True,Valid Sequence,527,17.57,695,23.17,5.60,ENTRY->WAIT->OUT,19.30s: ENTRY->WAIT; 20.50s: WAIT->OUT
14,True,Valid Sequence,527,17.57,703,23.43,5.87,ENTRY->WAIT->OUT,19.53s: ENTRY->WAIT; 20.50s: WAIT->OUT
16,True,Valid Sequence,532,17.73,751,25.03,7.30,ENTRY->WAIT->OUT,20.10s: ENTRY->WAIT; 22.07s: WAIT->OUT
