TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,60,2.61,175,7.61,5.00,ENTRY->WAIT->OUT,4.35s: ENTRY->WAIT; 5.70s: WAIT->OUT
2,True,Valid Sequence,61,2.65,174,7.57,4.91,ENTRY->WAIT->OUT,3.83s: ENTRY->WAIT; 5.30s: WAIT->OUT
3,True,Valid Sequence,62,2.70,195,8.48,5.78,ENTRY->WAIT->OUT,5.65s: ENTRY->WAIT; 6.83s: WAIT->OUT
4,True,Valid Sequence,65,2.83,185,8.04,5.22,ENTRY->WAIT->OUT,5.09s: ENTRY->WAIT; 6.13s: WAIT->OUT
5,True,Valid Sequence,66,2.87,178,7.74,4.87,ENTRY->WAIT->OUT,3.96s: ENTRY->WAIT; 5.43s: WAIT->OUT
6,True,Valid Sequence,66,2.87,179,7.78,4.91,ENTRY->WAIT->OUT,4.52s: ENTRY->WAIT; 5.78s: WAIT->OUT
7,True,Valid Sequence,67,2.91,182,7.91,5.00,ENTRY->WAIT->OUT,4.91s: ENTRY->WAIT; 5.87s: WAIT->OUT
8,True,Valid Sequence,75,3.26,174,7.57,4.30,ENTRY->WAIT->OUT,4.83s: ENTRY->WAIT; 5.65s: WAIT->OUT
9,True,Valid (Retried),75,3.26,188,8.17,4.91,ENTRY->WAIT->ENTRY->WAIT->OUT,4.65s: ENTRY->WAIT; 4.78s: WAIT->ENTRY; 5.13s: ENTRY->WAIT; 6.35s: WAIT->OUT
10,True,Valid Sequence,75,3.26,184,8.00,4.74,ENTRY->WAIT->OUT,5.09s: ENTRY->WAIT; 6.00s: WAIT->OUT
11,True,Valid Sequence,79,3.43,182,7.91,4.48,ENTRY->WAIT->OUT,5.13s: ENTRY->WAIT; 6.09s: WAIT->OUT
12,True,Valid Sequence,83,3.61,193,8.39,4.78,ENTRY->WAIT->OUT,5.39s: ENTRY->WAIT; 6.39s: WAIT->OUT
13,True,Valid Sequence,85,3.70,193,8.39,4.70,ENTRY->WAIT->OUT,5.13s: ENTRY->WAIT; 6.35s: WAIT->OUT
14,True,Valid Sequence,88,3.83,192,8.35,4.52,ENTRY->WAIT->OUT,5.57s: ENTRY->WAIT; 6.43s: WAIT->OUT
15,True,Valid Sequence,91,3.96,178,7.74,3.78,ENTRY->WAIT->OUT,5.35s: ENTRY->WAIT; 6.22s: WAIT->OUT
16,True,Valid Sequence,95,4.13,173,7.52,3.39,ENTRY->WAIT->OUT,5.13s: ENTRY->WAIT; 6.13s: WAIT->OUT
17,True,Valid Sequence,96,4.17,188,8.17,4.00,ENTRY->WAIT->OUT,5.52s: ENTRY->WAIT; 6.52s: WAIT->OUT
18,True,Valid Sequence,101,4.39,184,8.00,3.61,ENTRY->WAIT->OUT,5.48s: ENTRY->WAIT; 6.13s: WAIT->OUT
19,True,Valid Sequence,113,4.91,260,11.30,6.39,ENTRY->WAIT->OUT,9.26s: ENTRY->WAIT; 10.04s: WAIT->OUT
20,True,Valid Sequence,113,4.91,252,10.96,6.04,ENTRY->WAIT->OUT,5.78s: ENTRY->WAIT; 7.22s: WAIT->OUT
22,True,Valid Sequence,115,5.00,199,8.65,3.65,ENTRY->WAIT->OUT,5.74s: ENTRY->WAIT; 6.57s: WAIT->OUT
23,True,Valid Sequence,115,5.00,207,9.00,4.00,ENTRY->WAIT->OUT,6.04s: ENTRY->WAIT; 7.09s: WAIT->OUT
24,True,Valid Sequence,116,5.04,190,8.26,3.22,ENTRY->WAIT->OUT,5.70s: ENTRY->WAIT; 6.48s: WAIT->OUT
25,True,Valid Sequence,121,5.26,188,8.17,2.91,ENTRY->WAIT->OUT,5.87s: ENTRY->WAIT; 6.57s: WAIT->OUT
26,True,Valid Sequence,121,5.26,207,9.00,3.74,ENTRY->WAIT->OUT,6.30s: ENTRY->WAIT; 7.13s: WAIT->OUT
27,True,Valid Sequence,123,5.35,196,8.52,3.17,ENTRY->WAIT->OUT,6.22s: ENTRY->WAIT; 6.91s: WAIT->OUT
28,True,Valid Sequence,125,5.43,205,8.91,3.48,ENTRY->WAIT->OUT,6.39s: ENTRY->WAIT; 7.04s: WAIT->OUT
29,True,Valid Sequence,127,5.52,195,8.48,2.96,ENTRY->WAIT->OUT,6.39s: ENTRY->WAIT; 6.96s: WAIT->OUT
30,True,Valid Sequence,131,5.70,202,8.78,3.09,ENTRY->WAIT->OUT,6.65s: ENTRY->WAIT; 7.26s: WAIT->OUT
31,True,Valid Sequence,133,5.78,207,9.00,3.22,ENTRY->WAIT->OUT,6.39s: ENTRY->WAIT; 7.09s: WAIT->OUT
