frame,timestamp,event,track_id,zone,details
64,2.56s,NEW_ID,1,ENTRY,ID 1 appeared in ENTRY
65,2.60s,NEW_ID,2,ENTRY,ID 2 appeared in ENTRY
66,2.64s,NEW_ID,3,ENTRY,ID 3 appeared in ENTRY
68,2.72s,NEW_ID,4,ENTRY,ID 4 appeared in ENTRY
71,2.84s,NEW_ID,5,ENTRY,ID 5 appeared in ENTRY
71,2.84s,NEW_ID,6,ENTRY,ID 6 appeared in ENTRY
73,2.92s,NEW_ID,7,ENTRY,ID 7 appeared in ENTRY
80,3.20s,NEW_ID,8,ENTRY,ID 8 appeared in ENTRY
80,3.20s,NEW_ID,9,ENTRY,ID 9 appeared in ENTRY
82,3.28s,NEW_ID,10,ENTRY,ID 10 appeared in ENTRY
84,3.36s,NEW_ID,11,ENTRY,ID 11 appeared in ENTRY
90,3.60s,NEW_ID,12,ENTRY,ID 12 appeared in ENTRY
91,3.64s,NEW_ID,13,ENTRY,ID 13 appeared in ENTRY
95,3.80s,NEW_ID,14,ENTRY,ID 14 appeared in ENTRY
96,3.84s,ZONE_CHANGE,2,WAIT,ID 2: ENTRY -> WAIT
98,3.92s,NEW_ID,15,ENTRY,ID 15 appeared in ENTRY
99,3.96s,ZONE_CHANGE,5,WAIT,ID 5: ENTRY -> WAIT
103,4.12s,NEW_ID,16,ENTRY,ID 16 appeared in ENTRY
104,4.16s,NEW_ID,17,ENTRY,ID 17 appeared in ENTRY
108,4.32s,ZONE_CHANGE,1,WAIT,ID 1: ENTRY -> WAIT
108,4.32s,NEW_ID,18,ENTRY,ID 18 appeared in ENTRY
113,4.52s,ZONE_CHANGE,6,WAIT,ID 6: ENTRY -> WAIT
117,4.68s,ZONE_CHANGE,9,WAIT,ID 9: ENTRY -> WAIT
118,4.72s,ZONE_CHANGE,9,ENTRY,ID 9: WAIT -> ENTRY
121,4.84s,ZONE_CHANGE,8,WAIT,ID 8: ENTRY -> WAIT
122,4.88s,NEW_ID,19,ENTRY,ID 19 appeared in ENTRY
123,4.92s,ZONE_CHANGE,7,WAIT,ID 7: ENTRY -> WAIT
123,4.92s,NEW_ID,20,ENTRY,ID 20 appeared in ENTRY
123,4.92s,NEW_ID,21,ENTRY,ID 21 appeared in ENTRY
124,4.96s,NEW_ID,22,ENTRY,ID 22 appeared in ENTRY
126,5.04s,ZONE_CHANGE,4,WAIT,ID 4: ENTRY -> WAIT
126,5.04s,NEW_ID,23,ENTRY,ID 23 appeared in ENTRY
127,5.08s,ZONE_CHANGE,10,WAIT,ID 10: ENTRY -> WAIT
128,5.12s,ZONE_CHANGE,9,WAIT,ID 9: ENTRY -> WAIT
128,5.12s,ZONE_CHANGE,11,WAIT,ID 11: ENTRY -> WAIT
128,5.12s,ZONE_CHANGE,13,WAIT,ID 13: ENTRY -> WAIT
128,5.12s,ZONE_CHANGE,16,WAIT,ID 16: ENTRY -> WAIT
132,5.28s,ZONE_CHANGE,2,OUT,ID 2: WAIT -> OUT
132,5.28s,NEW_ID,24,ENTRY,ID 24 appeared in ENTRY
132,5.28s,NEW_ID,25,ENTRY,ID 25 appeared in ENTRY
132,5.28s,NEW_ID,26,ENTRY,ID 26 appeared in ENTRY
133,5.32s,ZONE_CHANGE,15,WAIT,ID 15: ENTRY -> WAIT
135,5.40s,ZONE_CHANGE,12,WAIT,ID 12: ENTRY -> WAIT
